Date,Open,High,Low,Close,Adj Close,Volume
2017-04-27,0.030094,0.032551,0.029480,0.032044,0.032044,15335112
2017-04-28,0.032069,0.041413,0.032020,0.040821,0.040821,74457641
2017-04-29,0.040897,0.052978,0.040897,0.048525,0.048525,104964662
2017-04-30,0.048469,0.050157,0.045502,0.047325,0.047325,38490784
2017-05-01,0.047299,0.053077,0.045237,0.050527,0.050527,56591584
2017-05-02,0.050097,0.051012,0.046455,0.049303,0.049303,30926193
2017-05-03,0.049300,0.056430,0.047812,0.055562,0.055562,39376320
2017-05-04,0.056087,0.077897,0.054423,0.071884,0.071884,139710329
2017-05-05,0.073081,0.097329,0.071699,0.085092,0.085092,167755139
2017-05-06,0.084982,0.096547,0.084982,0.092588,0.092588,80402219
2017-05-07,0.092713,0.134562,0.089992,0.129299,0.129299,227133338
2017-05-08,0.129168,0.217292,0.123215,0.181446,0.181446,368556396
2017-05-09,0.182349,0.198563,0.123049,0.147073,0.147073,196620727
2017-05-10,0.145600,0.184712,0.143663,0.171221,0.171221,127718781
2017-05-11,0.170272,0.179350,0.149417,0.168602,0.168602,95469526
2017-05-12,0.168256,0.191759,0.166575,0.188586,0.188586,113146334
2017-05-13,0.189162,0.204633,0.171117,0.196649,0.196649,107166651
2017-05-14,0.196924,0.204526,0.193270,0.201559,0.201559,63822075
2017-05-15,0.201418,0.246557,0.201362,0.246557,0.246557,203937165
2017-05-16,0.245741,0.315417,0.245764,0.315417,0.315417,397477446
2017-05-17,0.320162,0.391833,0.293435,0.353450,0.353450,422360340
2017-05-18,0.354166,0.365668,0.297499,0.328415,0.328415,213900990
2017-05-19,0.327187,0.327217,0.268470,0.292575,0.292575,240890767
2017-05-20,0.293316,0.330561,0.271279,0.313847,0.313847,212238486
2017-05-21,0.315212,0.328129,0.296521,0.300153,0.300153,115851263
2017-05-22,0.302119,0.308596,0.241887,0.282953,0.282953,236450127
2017-05-23,0.278853,0.315492,0.259484,0.289367,0.289367,136957494
2017-05-24,0.290876,0.319526,0.261172,0.263505,0.263505,147981120
2017-05-25,0.259893,0.269940,0.212623,0.219505,0.219505,212136478
2017-05-26,0.218629,0.292402,0.218668,0.243076,0.243076,227092656
2017-05-27,0.243871,0.253410,0.145184,0.190081,0.190081,228520837
2017-05-28,0.190384,0.216772,0.183019,0.205399,0.205399,109388869
2017-05-29,0.203283,0.217366,0.192384,0.208565,0.208565,77788802
2017-05-30,0.208673,0.213325,0.183768,0.183768,0.183768,83065160
2017-05-31,0.183800,0.220373,0.173458,0.219406,0.219406,142913070
2017-06-01,0.217053,0.300336,0.217111,0.297589,0.297589,525168576
2017-06-02,0.297578,0.299428,0.258134,0.269062,0.269062,260398113
2017-06-03,0.266412,0.275637,0.246110,0.261199,0.261199,137838269
2017-06-04,0.264574,0.278369,0.245775,0.265555,0.265555,136131263
2017-06-05,0.265953,0.268294,0.253270,0.261173,0.261173,69675316
2017-06-06,0.261196,0.261485,0.244922,0.252505,0.252505,117774425
2017-06-07,0.252620,0.264920,0.248750,0.248586,0.248586,129577083
2017-06-08,0.249580,0.265750,0.245747,0.258942,0.258942,92207026
